iter	Passed	Remaining
381	18511	15410
382	18563	15364
383	18614	15318
384	18665	15271
385	18727	15233
386	18779	15188
387	18827	15139
388	18876	15091
389	18920	15039
390	18964	14987
391	19017	14942
392	19063	14891
393	19114	14845
394	19162	14795
395	19209	14746
396	19261	14700
397	19323	14662
398	19373	14615
399	19424	14568
400	19470	14518
401	19521	14471
402	19573	14425
403	19631	14383
404	19680	14334
405	19738	14293
406	19786	14244
407	19834	14195
408	19882	14146
409	19935	14100
410	19983	14051
411	20038	14007
412	20083	13956
413	20127	13904
414	20171	13852
415	20212	13798
416	20257	13748
417	20304	13698
418	20346	13645
419	20390	13593
420	20436	13543
421	20484	13494
422	20534	13446
423	20588	13401
424	20634	13351
425	20683	13303
426	20734	13256
427	20782	13207
428	20829	13157
429	20876	13108
430	20921	13057
431	20964	13005
432	21007	12953
433	21059	12907
434	21117	12864
435	21178	12823
436	21240	12782
437	21308	12746
438	21358	12698
439	21410	12651
440	21459	12603
441	21510	12556
442	21561	12508
443	21617	12463
444	21664	12414
445	21717	12368
446	21774	12324
447	21826	12277
448	21874	12228
449	21925	12180
450	21971	12130
451	22018	12080
452	22066	12032
453	22114	11982
454	22165	11935
455	22215	11887
456	22260	11836
457	22303	11784
458	22353	11736
459	22402	11688
460	22448	11638
461	22495	11588
462	22542	11538
463	22590	11490
464	22634	11439
465	22677	11387
466	22718	11334
467	22765	11285
468	22820	11239
469	22873	11193
470	22925	11146
471	22976	11099
472	23029	11052
473	23081	11005
474	23127	10955
475	23174	10905
476	23224	10857
477	23271	10808
478	23321	10760
479	23378	10714
480	23432	10668
481	23486	10622
482	23533	10573
483	23595	10530
484	23658	10487
485	23717	10443
486	23768	10395
487	23826	10350
488	23883	10305
489	23946	10262
490	24000	10216
491	24080	10180
492	24142	10137
493	24190	10087
494	24240	10039
495	24291	9990
496	24344	9943
497	24390	9893
498	24443	9846
499	24486	9794
500	24529	9743
501	24574	9692
502	24615	9640
503	24661	9590
504	24707	9540
505	24753	9490
506	24798	9439
507	24851	9392
508	24916	9349
509	24975	9304
510	25026	9256
511	25084	9210
512	25131	9161
513	25178	9111
514	25223	9060
515	25267	9009
516	25313	8959
517	25355	8908
518	25397	8857
519	25438	8805
520	25486	8756
521	25551	8712
522	25619	8670
523	25675	8623
524	25731	8577
525	25788	8530
526	25838	8481
527	25895	8435
528	25966	8393
529	26043	8353
530	26112	8310
531	26185	8269
532	26253	8225
533	26313	8179
534	26379	8135
535	26447	8092
536	26509	8046
537	26567	7999
538	26629	7954
539	26680	7905
540	26735	7857
541	26781	7807
542	26827	7756
543	26950	7728
544	27069	7698
545	27120	7649
546	27171	7599
547	27222	7550
548	27267	7499
549	27319	7450
550	27371	7401
551	27439	7356
552	27501	7310
553	27566	7264
554	27621	7216
555	27674	7167
556	27729	7119
557	27784	7070
558	27834	7020
559	27897	6974
560	27956	6926
561	28012	6878
562	28073	6831
563	28127	6782
564	28190	6735
565	28241	6686
566	28291	6636
567	28490	6621
568	28581	6580
569	28650	6534
570	28728	6490
571	28795	6443
572	28854	6395
573	28913	6346
574	28983	6300
575	29052	6254
576	29116	6206
577	29175	6158
578	29232	6108
579	29282	6058
580	29331	6007
581	29382	5957
582	29433	5906
583	29512	5862
584	29561	5811
585	29611	5760
586	29663	5710
587	29716	5660
588	29765	5609
589	29813	5558
590	29861	5507
591	29912	5456
592	29953	5404
593	29999	5353
594	30049	5302
595	30099	5252
596	30158	5203
597	30221	5154
598	30283	5106
599	30344	5057
600	30395	5006
601	30453	4957
602	30510	4908
603	30570	4858
604	30627	4809
605	30691	4760
606	30745	4710
607	30795	4659
608	30842	4608
609	30896	4558
610	30943	4507
611	30987	4455
612	31033	4404
613	31083	4353
614	31129	4302
615	31178	4251
616	31226	4200
617	31274	4149
618	31322	4098
619	31373	4048
620	31420	3997
621	31462	3945
622	31505	3893
623	31549	3842
624	31597	3791
625	31637	3739
626	31677	3688
627	31719	3636
628	31764	3585
629	31810	3534
630	31855	3483
631	31901	3432
632	31945	3381
633	31994	3330
634	32043	3280
635	32089	3229
636	32132	3177
637	32178	3127
638	32226	3076
639	32273	3025
640	32319	2974
641	32364	2923
642	32411	2873
643	32464	2823
644	32519	2772
645	32571	2722
646	32626	2672
647	32685	2622
648	32737	2572
649	32791	2522
650	32851	2472
651	32907	2422
652	32973	2373
653	33028	2323
654	33092	2273
655	33147	2223
656	33201	2173
657	33251	2122
658	33298	2071
659	33347	2021
660	33395	1970
661	33439	1919
662	33490	1868
663	33539	1818
664	33594	1768
665	33645	1717
666	33694	1667
667	33744	1616
668	33794	1565
669	33839	1515
670	33888	1464
671	33931	1413
672	33975	1363
673	34025	1312
674	34073	1261
675	34117	1211
676	34163	1160
677	34207	1109
678	34252	1059
679	34297	1008
680	34341	958
681	34383	907
682	34429	856
683	34473	806
684	34520	755
685	34567	705
686	34612	654
687	34657	604
688	34704	554
689	34751	503
690	34800	453
691	34848	402
692	34897	352
693	34947	302
694	35001	251
695	35052	201
696	35095	151
697	35147	100
698	35187	50
699	35229	0
